batteryAge,chargingCycles,chargingFrequency,fastChargingUsage,averageTemperature,chargingDuration,dailyDistance,socHistory,batteryCapacity,voltage,current,is_two_wheeler,is_three_wheeler,is_four_wheeler,is_bus,is_chemistry_lfp,is_chemistry_nmc,is_chemistry_lead_acid,SOH,RUL
4.0,800,1.6,60.0,45.0,2.0,80.0,58.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,11
1.5,450,1.0,60.0,45.0,7.4,20.0,74.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,77.5,60
4.0,800,1.0,80.0,40.0,2.5,20.0,74.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,61.5,11
0.5,400,1.6,60.0,25.0,10.0,80.0,58.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.5,60
0.1,15,1.6,10.0,45.0,2.0,80.0,58.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,89.65,60
4.5,1080,1.6,30.0,35.0,2.0,80.0,58.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,67.5,7
2.0,1000,3.0,30.0,35.0,9.7,150.0,40.0,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,82.5,60
4.8,3800,1.0,10.0,25.0,10.0,40.0,69.3,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.75,12
1.5,600,1.0,30.0,25.0,10.0,40.0,69.3,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,90.5,60
4.8,1140,1.6,80.0,40.0,2.0,80.0,58.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,3
4.5,1800,1.6,30.0,35.0,10.0,80.0,58.7,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,67.5,11
1.0,400,1.6,10.0,25.0,10.0,80.0,58.7,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,94.0,60
